1)   Score(precision=0.7777777777777778, recall=0.3888888888888889, fmeasure=0.5185185185185185)
2)   Score(precision=0.13333333333333333, recall=0.13333333333333333, fmeasure=0.13333333333333333)
3)   Score(precision=0.9375, recall=0.23076923076923078, fmeasure=0.37037037037037035)
4)   Score(precision=0.38461538461538464, recall=0.09615384615384616, fmeasure=0.15384615384615385)
5)   Score(precision=0.5172413793103449, recall=0.24193548387096775, fmeasure=0.3296703296703297)
6)   Score(precision=0.391304347826087, recall=0.1323529411764706, fmeasure=0.1978021978021978)
1)   Score(precision=0.5185185185185185, recall=0.28, fmeasure=0.36363636363636365)
2)   Score(precision=0.7333333333333333, recall=0.3548387096774194, fmeasure=0.47826086956521735)
3)   Score(precision=0.9375, recall=0.23076923076923078, fmeasure=0.37037037037037035)
4)   Score(precision=0.38461538461538464, recall=0.10204081632653061, fmeasure=0.16129032258064516)
5)   Score(precision=0.5172413793103449, recall=0.24193548387096775, fmeasure=0.3296703296703297)
6)   Score(precision=0.4782608695652174, recall=0.18333333333333332, fmeasure=0.2650602409638554)
7)   Score(precision=0.18867924528301888, recall=0.19230769230769232, fmeasure=0.19047619047619047)
8)   Score(precision=0.25, recall=0.12280701754385964, fmeasure=0.16470588235294117)
9)   Score(precision=0.4074074074074074, recall=0.2558139534883721, fmeasure=0.3142857142857143)
10)   Score(precision=0.6388888888888888, recall=0.46938775510204084, fmeasure=0.5411764705882353)
11)   Score(precision=0.5, recall=0.21818181818181817, fmeasure=0.3037974683544304)
12)   Score(precision=0.46153846153846156, recall=0.1935483870967742, fmeasure=0.2727272727272727)
13)   Score(precision=0.25, recall=0.04285714285714286, fmeasure=0.07317073170731707)
14)   Score(precision=0.44, recall=0.2558139534883721, fmeasure=0.3235294117647059)
15)   Score(precision=0.26666666666666666, recall=0.07692307692307693, fmeasure=0.11940298507462686)
16)   Score(precision=0.39473684210526316, recall=0.2777777777777778, fmeasure=0.32608695652173914)
17)   Score(precision=0.5555555555555556, recall=0.24390243902439024, fmeasure=0.33898305084745767)
18)   Score(precision=0.5263157894736842, recall=0.3333333333333333, fmeasure=0.4081632653061224)
19)   Score(precision=0.5454545454545454, recall=0.22641509433962265, fmeasure=0.32)
20)   Score(precision=0.47368421052631576, recall=0.20454545454545456, fmeasure=0.28571428571428575)
21)   Score(precision=0.26666666666666666, recall=0.1951219512195122, fmeasure=0.22535211267605634)
22)   Score(precision=0.3448275862068966, recall=0.2, fmeasure=0.2531645569620254)
23)   Score(precision=0.5, recall=0.34375, fmeasure=0.4074074074074074)
24)   Score(precision=0.32558139534883723, recall=0.3783783783783784, fmeasure=0.35000000000000003)
25)   Score(precision=0.6842105263157895, recall=0.22033898305084745, fmeasure=0.3333333333333333)
26)   Score(precision=0.3829787234042553, recall=0.26865671641791045, fmeasure=0.3157894736842105)
27)   Score(precision=0.36666666666666664, recall=0.19298245614035087, fmeasure=0.2528735632183908)
28)   Score(precision=0.5, recall=0.34615384615384615, fmeasure=0.40909090909090906)
29)   Score(precision=0.07692307692307693, recall=0.11538461538461539, fmeasure=0.0923076923076923)
30)   Score(precision=0.32558139534883723, recall=0.6086956521739131, fmeasure=0.42424242424242425)
31)   Score(precision=0.5217391304347826, recall=0.2033898305084746, fmeasure=0.29268292682926833)
32)   Score(precision=0.5833333333333334, recall=0.16666666666666666, fmeasure=0.25925925925925924)
33)   Score(precision=0.2631578947368421, recall=0.11627906976744186, fmeasure=0.16129032258064516)
34)   Score(precision=0.1276595744680851, recall=0.13636363636363635, fmeasure=0.13186813186813187)
35)   Score(precision=0.4722222222222222, recall=0.3090909090909091, fmeasure=0.37362637362637363)
36)   Score(precision=0.3333333333333333, recall=0.11594202898550725, fmeasure=0.17204301075268816)
37)   Score(precision=0.4166666666666667, recall=0.18072289156626506, fmeasure=0.2521008403361345)
38)   Score(precision=0.21428571428571427, recall=0.17647058823529413, fmeasure=0.1935483870967742)
39)   Score(precision=0.2857142857142857, recall=0.18181818181818182, fmeasure=0.2222222222222222)
40)   Score(precision=0.6, recall=0.28846153846153844, fmeasure=0.3896103896103896)
41)   Score(precision=0.42105263157894735, recall=0.3018867924528302, fmeasure=0.3516483516483517)
42)   Score(precision=0.3333333333333333, recall=0.16666666666666666, fmeasure=0.2222222222222222)
43)   Score(precision=0.6, recall=0.17647058823529413, fmeasure=0.2727272727272727)
44)   Score(precision=0.5, recall=0.18032786885245902, fmeasure=0.26506024096385544)
45)   Score(precision=0.23529411764705882, recall=0.06896551724137931, fmeasure=0.10666666666666667)
46)   Score(precision=0.5, recall=0.08791208791208792, fmeasure=0.14953271028037385)
47)   Score(precision=0.2962962962962963, recall=0.2, fmeasure=0.23880597014925375)
48)   Score(precision=0.47058823529411764, recall=0.32653061224489793, fmeasure=0.38554216867469876)
49)   Score(precision=0.5263157894736842, recall=0.2777777777777778, fmeasure=0.36363636363636365)
50)   Score(precision=0.29411764705882354, recall=0.17857142857142858, fmeasure=0.22222222222222224)
51)   Score(precision=0.35714285714285715, recall=0.2542372881355932, fmeasure=0.297029702970297)
52)   Score(precision=0.375, recall=0.24324324324324326, fmeasure=0.2950819672131148)
53)   Score(precision=0.5, recall=0.16521739130434782, fmeasure=0.24836601307189543)
54)   Score(precision=0.6428571428571429, recall=0.375, fmeasure=0.4736842105263159)
55)   Score(precision=0.6875, recall=0.22448979591836735, fmeasure=0.3384615384615384)
56)   Score(precision=0.75, recall=0.44776119402985076, fmeasure=0.5607476635514019)
57)   Score(precision=0.6153846153846154, recall=0.3137254901960784, fmeasure=0.4155844155844156)
58)   Score(precision=0.3181818181818182, recall=0.15555555555555556, fmeasure=0.208955223880597)
59)   Score(precision=0.38235294117647056, recall=0.22413793103448276, fmeasure=0.28260869565217395)
60)   Score(precision=0.7368421052631579, recall=0.23333333333333334, fmeasure=0.35443037974683544)
61)   Score(precision=0.26666666666666666, recall=0.05714285714285714, fmeasure=0.09411764705882353)
62)   Score(precision=0.058823529411764705, recall=0.027777777777777776, fmeasure=0.03773584905660377)
63)   Score(precision=0.6, recall=0.25, fmeasure=0.35294117647058826)
64)   Score(precision=0.3235294117647059, recall=0.2972972972972973, fmeasure=0.3098591549295775)
65)   Score(precision=0.3333333333333333, recall=0.13333333333333333, fmeasure=0.19047619047619044)
66)   Score(precision=0.5, recall=0.22641509433962265, fmeasure=0.31168831168831174)
67)   Score(precision=0.48, recall=0.3870967741935484, fmeasure=0.42857142857142855)
68)   Score(precision=0.3, recall=0.19047619047619047, fmeasure=0.23300970873786406)
69)   Score(precision=0.34615384615384615, recall=0.25, fmeasure=0.2903225806451613)
70)   Score(precision=0.5263157894736842, recall=0.25, fmeasure=0.3389830508474576)
71)   Score(precision=0.4146341463414634, recall=0.3953488372093023, fmeasure=0.40476190476190477)
72)   Score(precision=0.16666666666666666, recall=0.15384615384615385, fmeasure=0.16)
73)   Score(precision=0.23255813953488372, recall=0.37037037037037035, fmeasure=0.2857142857142857)
74)   Score(precision=0.28205128205128205, recall=0.1506849315068493, fmeasure=0.1964285714285714)
75)   Score(precision=0.4230769230769231, recall=0.2558139534883721, fmeasure=0.3188405797101449)
76)   Score(precision=0.45161290322580644, recall=0.19718309859154928, fmeasure=0.2745098039215686)
77)   Score(precision=0.2857142857142857, recall=0.13793103448275862, fmeasure=0.18604651162790697)
78)   Score(precision=0.42105263157894735, recall=0.11940298507462686, fmeasure=0.18604651162790697)
79)   Score(precision=0.3269230769230769, recall=0.3695652173913043, fmeasure=0.346938775510204)
80)   Score(precision=0.35294117647058826, recall=0.11538461538461539, fmeasure=0.1739130434782609)
81)   Score(precision=0.3023255813953488, recall=0.24528301886792453, fmeasure=0.27083333333333326)
82)   Score(precision=0.29411764705882354, recall=0.14705882352941177, fmeasure=0.19607843137254904)
83)   Score(precision=0.31343283582089554, recall=0.42, fmeasure=0.35897435897435903)
84)   Score(precision=0.64, recall=0.22857142857142856, fmeasure=0.33684210526315794)
85)   Score(precision=0.3, recall=0.12244897959183673, fmeasure=0.17391304347826086)
86)   Score(precision=0.47619047619047616, recall=0.20408163265306123, fmeasure=0.2857142857142857)
87)   Score(precision=0.6086956521739131, recall=0.2692307692307692, fmeasure=0.37333333333333335)
88)   Score(precision=0.5263157894736842, recall=0.2631578947368421, fmeasure=0.35087719298245607)
89)   Score(precision=0.06818181818181818, recall=0.11538461538461539, fmeasure=0.0857142857142857)
90)   Score(precision=0.16, recall=0.21052631578947367, fmeasure=0.1818181818181818)
91)   Score(precision=0.39473684210526316, recall=0.3409090909090909, fmeasure=0.36585365853658536)
92)   Score(precision=0.21428571428571427, recall=0.09375, fmeasure=0.13043478260869562)
93)   Score(precision=0.32558139534883723, recall=0.25, fmeasure=0.2828282828282828)
94)   Score(precision=0.3157894736842105, recall=0.15, fmeasure=0.20338983050847456)
95)   Score(precision=0.6538461538461539, recall=0.2982456140350877, fmeasure=0.40963855421686746)
96)   Score(precision=0.4, recall=0.45454545454545453, fmeasure=0.4255319148936171)
97)   Score(precision=0.4, recall=0.2857142857142857, fmeasure=0.3333333333333333)
98)   Score(precision=0.39473684210526316, recall=0.39473684210526316, fmeasure=0.39473684210526316)
99)   Score(precision=0.47368421052631576, recall=0.16666666666666666, fmeasure=0.2465753424657534)
100)   Score(precision=0.4666666666666667, recall=0.15053763440860216, fmeasure=0.22764227642276424)
101)   Score(precision=0.40816326530612246, recall=0.3225806451612903, fmeasure=0.3603603603603604)
102)   Score(precision=0.47368421052631576, recall=0.10588235294117647, fmeasure=0.17307692307692304)
103)   Score(precision=0.6956521739130435, recall=0.3018867924528302, fmeasure=0.4210526315789474)
104)   Score(precision=0.4883720930232558, recall=0.28378378378378377, fmeasure=0.358974358974359)
105)   Score(precision=0.4375, recall=0.28, fmeasure=0.34146341463414637)
106)   Score(precision=0.6, recall=0.3409090909090909, fmeasure=0.43478260869565216)
107)   Score(precision=0.4, recall=0.3076923076923077, fmeasure=0.34782608695652173)
108)   Score(precision=0.10526315789473684, recall=0.14814814814814814, fmeasure=0.12307692307692308)
109)   Score(precision=0.06060606060606061, recall=0.18181818181818182, fmeasure=0.09090909090909091)
110)   Score(precision=0.2777777777777778, recall=0.5555555555555556, fmeasure=0.3703703703703704)
111)   Score(precision=0.6538461538461539, recall=0.265625, fmeasure=0.37777777777777777)
112)   Score(precision=0.24242424242424243, recall=0.1111111111111111, fmeasure=0.15238095238095237)
113)   Score(precision=0.4375, recall=0.1728395061728395, fmeasure=0.24778761061946905)
114)   Score(precision=0.5, recall=0.25, fmeasure=0.3333333333333333)
115)   Score(precision=0.4782608695652174, recall=0.4583333333333333, fmeasure=0.4680851063829787)
116)   Score(precision=0.1875, recall=0.20689655172413793, fmeasure=0.19672131147540986)
117)   Score(precision=0.6666666666666666, recall=0.34782608695652173, fmeasure=0.4571428571428571)
118)   Score(precision=0.28125, recall=0.2903225806451613, fmeasure=0.28571428571428575)
119)   Score(precision=0.7037037037037037, recall=0.36538461538461536, fmeasure=0.48101265822784806)
120)   Score(precision=0.6666666666666666, recall=0.3404255319148936, fmeasure=0.4507042253521127)
121)   Score(precision=0.15, recall=0.09375, fmeasure=0.11538461538461538)
122)   Score(precision=0.2549019607843137, recall=0.37142857142857144, fmeasure=0.3023255813953488)
123)   Score(precision=0.6296296296296297, recall=0.3541666666666667, fmeasure=0.45333333333333337)
124)   Score(precision=0.6, recall=0.27631578947368424, fmeasure=0.37837837837837845)
